OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,TeamPOPS,OppPOPS
25,Carleton College,Win 13-8,1.02,Counts,0.0256,2022-03-05,Smoky Mountain Invite 2022,1,13,8,496.16,5,1690.42,2146.78,2186.58,2145.76,2186.58,55.976448,North Carolina,0.6190476190476191,0.38095238095238093
42,Colorado State,Win 13-8,-3.36,Counts,0.0256,2022-03-05,Smoky Mountain Invite 2022,1,13,8,496.16,5,1523.44,2151.16,2019.6000000000001,2154.52,2019.6000000000001,51.70176000000001,North Carolina,0.6190476190476191,0.38095238095238093
18,Ohio State,Win 15-8,4.89,Counts,0.0256,2022-03-05,Smoky Mountain Invite 2022,1,15,8,564.81,7,1769.34,2142.91,2334.1499999999996,2138.02,2334.1499999999996,59.754239999999996,North Carolina,0.6521739130434783,0.34782608695652173
15,Minnesota,Win 15-11,1.21,Counts,0.0256,2022-03-06,Smoky Mountain Invite 2022,1,15,11,381.16,4,1812.87,2146.58,2194.0299999999997,2145.37,2194.0299999999997,56.167168,North Carolina,0.5769230769230769,0.4230769230769231
5,Pittsburgh,Win 15-11,6.76,Counts,0.0256,2022-03-06,Smoky Mountain Invite 2022,1,15,11,381.16,4,2024.16,2141.04,2405.32,2134.2799999999997,2405.32,61.576192000000006,North Carolina,0.5769230769230769,0.4230769230769231
1,Brown,Loss 13-15,-3.39,Counts,0.0256,2022-03-06,Smoky Mountain Invite 2022,0,13,15,-214.18,-2,2232.98,2151.18,2018.8,2154.5699999999997,2018.8,51.68128,North Carolina,0.4642857142857143,0.5357142857142857
24,Maryland,Win 13-6,4.93,Counts,0.0322,2022-04-02,Easterns 2022,1,13,6,600,7,1695.97,2142.87,2295.9700000000003,2137.94,2295.9700000000003,73.93023400000001,North Carolina,0.6842105263157895,0.3157894736842105
64,Temple,Win 13-6,-5.34,Counts,0.0322,2022-04-02,Easterns 2022,1,13,6,600,7,1387.45,2153.14,1987.45,2158.48,1987.45,63.99589,North Carolina,0.6842105263157895,0.3157894736842105
19,Tufts,Win 13-7,5.1,Counts,0.0322,2022-04-02,Easterns 2022,1,13,7,557.53,6,1743.43,2142.7,2300.96,2137.6,2300.96,74.090912,North Carolina,0.65,0.35
17,Texas,Win 13-8,5.02,Counts,0.0322,2022-04-02,Easterns 2022,1,13,8,496.16,5,1802.52,2142.78,2298.68,2137.76,2298.68,74.017496,North Carolina,0.6190476190476191,0.38095238095238093
12,Michigan,Win 14-10,4.35,Counts,0.0322,2022-04-03,Easterns 2022,1,14,10,398.7,4,1879.83,2143.45,2278.5299999999997,2139.1,2278.5299999999997,73.36866599999999,North Carolina,0.5833333333333334,0.4166666666666667
5,Pittsburgh,Win 11-10,0.05,Counts,0.0322,2022-04-03,Easterns 2022,1,11,10,125,1,2024.16,2147.75,2149.16,2147.7,2149.16,69.202952,North Carolina,0.5238095238095238,0.47619047619047616
9,Georgia,Loss 12-15,-16.26,Counts,0.0322,2022-04-03,Easterns 2022,0,12,15,-300.49,-3,1959.86,2164.06,1659.37,2180.32,1659.37,53.43171399999999,North Carolina,0.4444444444444444,0.5555555555555556
78,Charleston,Win 13-4,0,Ignored,0,2022-04-23,Carolina D I College Mens CC 2022,1,13,4,600,9,1280.82,2147.8,1880.82,2147.8,0,0,North Carolina,0.7647058823529411,0.23529411764705882
38,South Carolina,Win 13-8,-4.48,Counts,0.0383,2022-04-23,Carolina D I College Mens CC 2022,1,13,8,496.16,5,1539.25,2152.28,2035.41,2156.76,2035.41,77.956203,North Carolina,0.6190476190476191,0.38095238095238093
22,Duke,Win 13-3,6.19,Counts,0.0383,2022-04-23,Carolina D I College Mens CC 2022,1,13,3,600,10,1703.18,2141.61,2303.1800000000003,2135.42,2303.1800000000003,88.21179400000001,North Carolina,0.8125,0.1875
37,North Carolina-Charlotte,Win 15-11,-8.38,Counts,0.0383,2022-04-24,Carolina D I College Mens CC 2022,1,15,11,381.16,4,1556.38,2156.18,1937.5400000000002,2164.56,1937.5400000000002,74.20778200000001,North Carolina,0.5769230769230769,0.4230769230769231
11,North Carolina State,Win 15-8,12.54,Counts,0.0383,2022-04-24,Carolina D I College Mens CC 2022,1,15,8,564.81,7,1897.64,2135.26,2462.45,2122.7200000000003,2462.45,94.31183499999999,North Carolina,0.6521739130434783,0.34782608695652173
71,Delaware,Win 13-7,-12.29,Counts,0.043,2022-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,7,557.53,6,1316.76,2160.09,1874.29,2172.38,1874.29,80.59446999999999,North Carolina,0.65,0.35
28,North Carolina-Wilmington,Win 13-9,-4.58,Counts,0.043,2022-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,9,418.57,4,1627.39,2152.37,2045.96,2156.95,2045.96,87.97627999999999,North Carolina,0.5909090909090909,0.4090909090909091
22,Duke,Win 13-4,6.98,Counts,0.043,2022-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,4,600,9,1703.18,2140.82,2303.1800000000003,2133.84,2303.1800000000003,99.03674000000001,North Carolina,0.7647058823529411,0.23529411764705882
