OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,TeamPOPS,OppPOPS
1,Brown,Loss 12-14,-0.38,Counts,0.0304,2022-02-05,Warm Up 2022,0,12,14,-220.96,-2,2232.98,2024.54,2012.02,2024.92,2012.02,61.165408,Pittsburgh,0.46153846153846156,0.5384615384615384
24,Maryland,Win 11-7,5.37,Counts,0.037200000000000004,2022-03-05,Smoky Mountain Invite 2022,1,11,7,466.89,4,1695.97,2018.79,2162.86,2013.42,2162.86,80.45839200000002,Pittsburgh,0.6111111111111112,0.3888888888888889
31,UCLA,Win 13-7,5.59,Counts,0.0383,2022-03-05,Smoky Mountain Invite 2022,1,13,7,557.53,6,1607.12,2018.57,2164.6499999999996,2012.98,2164.6499999999996,82.906095,Pittsburgh,0.65,0.35
9,Georgia,Win 9-6,12.47,Counts,0.034,2022-03-05,Smoky Mountain Invite 2022,1,9,6,418.57,3,1959.86,2011.69,2378.43,1999.22,2378.43,80.86662,Pittsburgh,0.6,0.4
51,Indiana,Win 15-6,1.91,Counts,0.0383,2022-03-05,Smoky Mountain Invite 2022,1,15,6,600,9,1472.26,2022.25,2072.26,2020.34,2072.26,79.36755800000002,Pittsburgh,0.7142857142857143,0.2857142857142857
8,Massachusetts,Loss 11-14,-14.61,Counts,0.0383,2022-03-06,Smoky Mountain Invite 2022,0,11,14,-313.34,-3,1970.45,2038.76,1657.1100000000001,2053.37,1657.1100000000001,63.467313000000004,Pittsburgh,0.44,0.56
2,North Carolina,Loss 11-15,-10.25,Counts,0.0383,2022-03-06,Smoky Mountain Invite 2022,0,11,15,-381.16,-4,2147.8,2034.41,1766.64,2044.66,1766.64,67.662312,Pittsburgh,0.4230769230769231,0.5769230769230769
11,North Carolina State,Win 13-12,-0.06,Counts,0.0383,2022-03-06,Smoky Mountain Invite 2022,1,13,12,125,1,1897.64,2024.22,2022.64,2024.28,2022.64,77.467112,Pittsburgh,0.52,0.48
9,Georgia,Win 11-9,9.37,Counts,0.0482,2022-04-01,Easterns 2022,1,11,9,249.21,2,1959.86,2014.79,2209.0699999999997,2005.42,2209.0699999999997,106.47717399999999,Pittsburgh,0.55,0.45
50,Illinois,Win 15-7,2.61,Counts,0.0482,2022-04-01,Easterns 2022,1,15,7,600,8,1475.72,2021.55,2075.7200000000003,2018.94,2075.7200000000003,100.049704,Pittsburgh,0.6818181818181818,0.3181818181818182
14,California,Win 13-10,6.79,Counts,0.0482,2022-04-01,Easterns 2022,1,13,10,328.14,3,1830.1,2017.37,2158.24,2010.58,2158.24,104.02716799999999,Pittsburgh,0.5652173913043478,0.43478260869565216
25,Carleton College,Win 15-6,13.49,Counts,0.0482,2022-04-03,Easterns 2022,1,15,6,600,9,1690.42,2010.67,2290.42,1997.18,2290.42,110.398244,Pittsburgh,0.7142857142857143,0.2857142857142857
1,Brown,Loss 10-15,-12.4,Counts,0.0482,2022-04-03,Easterns 2022,0,10,15,-453.6,-5,2232.98,2036.56,1779.38,2048.96,1779.38,85.76611600000001,Pittsburgh,0.4,0.6
2,North Carolina,Loss 10-11,-0.07,Counts,0.0482,2022-04-03,Easterns 2022,0,10,11,-125,-1,2147.8,2024.23,2022.8000000000002,2024.3,2022.8000000000002,97.49896000000001,Pittsburgh,0.47619047619047616,0.5238095238095238
57,Carnegie Mellon,Win 11-7,-6.57,Counts,0.0527,2022-04-16,West Penn D I College Mens CC 2022,1,11,7,466.89,4,1439.12,2030.73,1906.0099999999998,2037.3,1906.0099999999998,100.44672699999998,Pittsburgh,0.6111111111111112,0.3888888888888889
48,Penn State,Win 12-7,-0.25,Counts,0.0541,2022-04-16,West Penn D I College Mens CC 2022,1,12,7,520.51,5,1499.29,2024.41,2019.8,2024.66,2019.8,109.27118,Pittsburgh,0.631578947368421,0.3684210526315789
99,Lehigh,Win 13-4,0,Ignored,0,2022-05-07,Ohio Valley D I College Mens Regionals 2022,1,13,4,600,9,1193.11,2024.16,1793.11,2024.16,0,0,Pittsburgh,0.7647058823529411,0.23529411764705882
44,Cincinnati,Win 13-4,6.66,Counts,0.0644,2022-05-08,Ohio Valley D I College Mens Regionals 2022,1,13,4,600,9,1521.03,2017.5,2121.0299999999997,2010.84,2121.0299999999997,136.59433199999998,Pittsburgh,0.7647058823529411,0.23529411764705882
18,Ohio State,Win 13-7,20.82,Counts,0.0644,2022-05-08,Ohio Valley D I College Mens Regionals 2022,1,13,7,557.53,6,1769.34,2003.34,2326.87,1982.52,2326.87,149.850428,Pittsburgh,0.65,0.35
18,Ohio State,Win 10-9,-3.09,Counts,0.028999999999999998,2022-02-12,Queen City Tune Up 2022,1,10,9,125,1,1769.34,2000.79,1894.34,2003.8799999999999,1894.34,54.93585999999999,Vermont,0.5263157894736842,0.47368421052631576
48,Penn State,Win 13-3,3.04,Counts,0.028999999999999998,2022-02-12,Queen City Tune Up 2022,1,13,3,600,10,1499.29,1994.66,2099.29,1991.6200000000001,2099.29,60.87940999999999,Vermont,0.8125,0.1875
11,North Carolina State,Win 10-8,4.73,Counts,0.028300000000000002,2022-02-12,Queen City Tune Up 2022,1,10,8,262.67,2,1897.64,1992.97,2160.31,1988.24,2160.31,61.136773000000005,Vermont,0.5555555555555556,0.4444444444444444
2,North Carolina,Loss 7-14,-12.94,Counts,0.028999999999999998,2022-02-13,Queen City Tune Up 2022,0,7,14,-582.89,-7,2147.8,2010.64,1564.9100000000003,2023.5800000000002,1564.9100000000003,45.38239000000001,Vermont,0.3333333333333333,0.6666666666666666
